title,subtitle,location,date_range
Coffee Machine,"Dutch, More or Less. Contemporary Architecture, Design and Digital Culture","Het Nieuwe Instituut (Rotterdam, NL)",01/06/2024 > 30/05/2026
-, "Microdosing AI Residency", "Marginal (Bucharest, RO) + V2_ Lab for the Unstable Media (Online)", 08/12/2025 > 27/02/2026
Life on FACT & Coffee Machine, "Can Meeple Escape the Neurophia?","FACT (Liverpool, UK)", 05/02/2026 > 26/04/2026
Coffee Machine,"Triumph of Galatea. Art in the Age of AI","KUMU Kunstimuuseum (Tallinn, EE)",12/02/2026 > 23/08/2026
-,"Panel Discussion - art in the age of artificial intelligence","KUMU Kunstimuuseum (Tallinn, EE)",14/02/2026
-,"SoDA x FACT Seminar Series","School of Digital Art, Manchester Metropolitan University (Liverpool, UK)",26/02/2026
-, "Wintersessions", "V2_ Lab for the Unstable Media (Rotterdam, NL)", 27/02/2026
-, "19th Conference of the European Chapter of the Association for Computational Linguistics", "Palais des Congr̬s Rabat Bouregreg (Rabat, MA)", 24/04/2026 > 29/04/2026
-, "re:publica ", "STATION Berlin (Berlin, DE)", 18/05/2026 > 20/05/2026

